date,CL=F
2022-07-26,94.98
2022-07-27,97.26
2022-07-28,96.42
2022-07-29,98.62
2022-08-01,93.89
2022-08-02,94.42
2022-08-03,90.66
2022-08-04,88.54
2022-08-05,89.01
2022-08-08,90.76
2022-08-09,90.5
2022-08-10,91.93
2022-08-11,94.34
2022-08-12,92.09
2022-08-15,90.3
